College,2017,2018,2019,2020,2021,2022,2023
Indian Institute of Technology Madras,1,1,1,1,1,1,1
Indian Institute of Technology Delhi,4,3,2,2,2,2,2
Indian Institute of Technology Bombay,2,2,3,3,3,3,3
Indian Institute of Technology Kanpur,5,5,5,4,4,4,4
Indian Institute of Technology Roorkee,6,6,6,6,6,6,5
Indian Institute of Technology Kharagpur,3,4,4,5,5,5,6
Indian Institute of Technology Guwahati,7,7,7,7,7,7,7
Indian Institute of Technology Hyderabad,10,9,8,8,8,9,8
National Institute of Technology Tiruchirappalli,11,11,10,9,9,8,9
Jadavpur University,9,12,14,17,17,11,10
Vellore Institute of Technology,13,16,18,15,12,12,11
"National Institute of Technology Karnataka, Surathkal ",22,21,21,13,10,10,12
Anna University,8,8,9,14,18,17,13
Indian Institute of Technology Indore,15,14,13,10,13,16,14
Indian Institute of Technology (Banaras Hindu University) Varanasi,31,19,11,11,14,13,15
National Institute of Technology Rourkela,12,15,16,16,20,15,16
Indian Institute of Technology (Indian School of Mines),23,13,15,12,11,14,17
Indian Institute of Technology Gandhinagar,30,27,24,24,22,23,18
Amrita Vishwa Vidyapeetham,,,,,16,19,19
Thapar Institute of Engineering and Technology (Deemed-to-be-university),,20,23,29,23,28,20
National Institute of Technology Warangal,34,25,26,19,23,21,21
Indian Institute of Technology Ropar,21,22,29,25,19,22,22
National Institute of Technology Calicut,44,50,28,23,25,31,23
Institute of Chemical Technology,14,10,12,18,15,18,24
Birla Institute of Technology & Science -Pilani,16,17,25,30,26,29,25
"Jamia Millia Islamia,New Delhi",20,32,28,28,33,26,26
Siksha `O` Anusandhan,,,32,34,32,27,27
S.R.M. Institute of Science and Technology,35,46,36,41,34,24,28
Delhi Technological University,39,41,34,36,36,35,29
Indian Institute of Technology Jodhpur,65,54,50,53,43,30,30
Amity University,46,34,35,32,31,25,31
Aligarh Muslim University,,35,40,39,35,37,32
Indian Institute of Technology Mandi,28,26,20,31,41,20,33
Shanmugha Arts Science Technology & Research Academy,25,33,38,37,38,41,34
"Indian Institute of Engineering Science and Technology, Shibpur",17,21,19,21,27,40,35
Kalasalingam Academy of Research and Education,,96,61,60,56,39,36
Malaviya National Institute of Technology,70,52,53,35,37,46,37
Chandigarh University,,,117,84,61,45,38
Kalinga Institute of Industrial Technology,47,51,48,42,39,42,39
National Institute of Technology Silchar,53,57,51,46,48,38,40
Indian Institute of Technology Patna,19,24,22,26,21,33,41
"Visvesvaraya National Institute of Technology, Nagpur",42,31,31,27,30,32,41
National Institute of Technology Durgapur,55,47,46,47,29,34,43
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),68,49,52,58,50,44,44
