college,SS,FSR,FQE,FRU,PU,QP,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCE,PCS,PR,Score,Rank
National Law School of India University,16,27.68,16.8,18.61,38.09,13.82,19.94,32.67,15,23.32,12,26.02,26.32,1.24,20,100,80.52,1
National Law University,15,30,15.67,19.36,17.69,8.16,12.57,29.4,15,25,12,26.07,26.77,1.85,20,83.18,73.91,2
Nalsar University of Law,15,30,16.34,19.86,20.82,6.73,8.55,33.11,15,23.82,8,25.02,28.51,1.14,20,84.07,73.76,3
The West Bengal National University of Juridicial Sciences,17,27.92,16.54,15.08,23.62,8.77,10.32,28.65,15,23.52,12,25.85,26.23,2.27,20,50.8,69.34,4
"Jamia Millia Islamia,New Delhi",14.5,30,16.51,8.14,24.33,18.03,0.29,38.05,15,14.31,16,25.54,30,9.7,20,48.8,68.3,5
Symbiosis Law School,14,30,17.73,13.54,4.47,0,0.93,36.53,15,16.66,20,18.74,30,2.86,20,65.5,66.67,6
Gujarat National Law University,14.5,28.71,17.64,12.37,17.62,8.29,12.26,36.01,15,21.89,0,22.82,28.29,0.73,20,52.72,65.69,7
Siksha `O` Anusandhan,14.86,30,10.34,11.05,50,4.99,6.78,31.71,15,14.31,4,21.92,30,1.49,20,46.69,64.04,8
Indian Institute of Technology Kharagpur,8.22,18.37,14,15.42,49.2,20.53,10.38,31.43,15,17.69,8,15.19,22.73,0,20,39.64,62.2,9
Babasheb Bhimrao Ambedkar University,3,30,18.5,14.8,11.38,23.51,1.3,40,15,13.66,16,17.85,30,0,20,11.5,61.05,10
Saveetha Institute of Medical and Technical Sciences,16.5,30,19.75,5.55,47.48,12.86,0.37,21.36,15,14.84,4,9.63,29.61,6.66,20,11.5,59.37,11
Kalinga Institute of Industrial Technology,16.43,30,19.75,11.44,11.72,18.06,5.09,6.71,15,12.36,16,25.83,30,0.23,20,27.9,59.2,12
Christ University,16.86,23.19,13.44,5.16,8.28,20.29,0.54,31.64,15,13.37,8,18.58,28.26,1.48,20,61.15,57.78,13
Aligarh Muslim University,16.69,16.28,11.74,3.62,14.65,23.39,0.02,37.52,15,20.1,20,14.81,17.04,0.14,20,31.16,56.51,14
Shanmugha Arts Science Technology & Research Academy,11.34,25.55,14.56,11.83,6.52,25.27,9.4,36.94,15,12.07,0,6.87,30,0.7,20,31.16,56.37,15
Lovely Professional University,13.54,30,16.92,14.07,8.18,26.09,6.91,5.2,15,15.95,0,22.58,30,3.33,20,27.9,55.41,16
Indian Law Institute,10.9,10.61,7.9,30,16.61,11.39,3.6,21.39,12.65,14.19,8,10.73,22.83,0,20,74.47,55.34,17
"National Law Institute University, Bhopal",15.58,18.56,11.91,10.6,6.15,15.56,5.97,22.62,15,23.72,8,14.74,28.85,2.11,20,39.64,54.68,18
Guru Gobind Singh Indraprastha University,14.76,18.55,13.46,5.47,10.86,24.9,0.85,33.93,15,13.38,12,4.45,27.65,0.03,20,39.64,54.13,19
"The Rajiv Gandhi National University of Law, Patiala",12.41,19.7,14.55,9.47,7,13.14,0.21,23.24,15,17.51,4,25.12,28.21,0.47,20,37,51.53,20
"Dr. Ram Manohar Lohiya National Law University, Lucknow",15.76,15.9,12.09,9.96,1.54,0,2.92,28.75,15,14.24,20,7.85,26.78,0.74,15,42.13,50.9,21
Banaras Hindu University,17.57,15.63,12.47,4.65,11.78,15.5,0.11,13.56,14.65,15.34,20,11.86,12.87,1.32,20,54.54,50.18,22
"Amity University Haryana, Gurgaon",11.71,30,19.27,6.44,8.39,16.58,1.36,6.78,15,9.44,8,14.53,25.09,0.88,20,27.9,49.55,23
National University of Study & Research in Law,14,22.76,12.38,8.49,15.15,6.57,0.99,12.74,15,17.5,12,13.78,28.88,0.09,20,11.5,48.2,24
Alliance University,12.69,25.99,16.83,8.69,6.25,9.62,4.21,8.61,12.76,12.53,8,16.84,24.82,0.03,20,27.9,48.13,25
"Army Institute of Law, Sector-68",12.5,21.38,14.5,7.53,3.36,0,2.08,17.83,15,15.91,8,18.57,30,0,20,34.18,47.65,26
Nirma University,13.62,19.04,9.99,7.32,12.6,23.74,0.26,19.19,15,12.81,0,24.02,30,1.46,20,27.9,47.57,27
National Law University and Judicial Academy,11.37,30,13.14,14.04,0,0,1.49,10.87,15,9.07,4,16.35,27.91,0,20,27.9,46.6,28
Manipal University Jaipur,11.08,26.28,15.99,9.22,5.82,19.48,0.25,11.67,14.08,11.13,4,10.43,27.52,0.5,20,16.24,46.54,29
National Law University,12.94,21.32,12.09,9.65,4.47,0,5.54,12.92,15,17.3,0,23.21,28.86,0.5,16,39.64,46.02,30
