College,Program,Faculty,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,No. of MaleStudents,No. of FemaleStudents,Total Students,Within State(Including male& female),Outside State(Including male& female),OutsideCountry(Including male& female),EconomicallyBackward(Including male& female),SociallyChallenged(SC+ST+OBCIncluding male& female),No. of studentsreceiving fulltuition feereimbursementfrom the Stateand CentralGovernment,No. of studentsreceiving fulltuition feereimbursementfrom InstitutionFunds,No. of studentsreceiving fulltuition feereimbursementfrom the PrivateBodies,No. of studentswho are notreceiving fulltuition feereimbursement
Aligarh Muslim University,UG [5 Years Program(s)],60,240,240,240,240,220,-,706,393,1099,487,607,5,35,192,20,0,0,207
Aligarh Muslim University,PG [2 Year Program(s)],60,35,35,-,-,-,-,43,33,76,62,14,0,2,3,2,0,0,3
Alliance University,UG [5 Years Program(s)],57,150,120,240,240,240,-,314,309,623,68,552,3,0,231,0,2,0,229
Alliance University,PG [1 Year Program(s)],57,40,-,-,-,-,-,12,28,40,8,32,0,0,15,0,0,0,15
"Amity University Haryana, Gurgaon",UG [5 Years Program(s)],46,120,120,120,120,120,-,272,181,453,204,248,1,0,120,0,33,0,87
"Amity University Haryana, Gurgaon",PG [1 Year Program(s)],46,170,-,-,-,-,-,92,78,170,40,130,0,0,41,2,9,0,30
"Army Institute of Law, Sector-68",UG [5 Years Program(s)],21,100,80,80,80,80,-,153,267,420,158,262,0,0,0,0,0,0,0
"Army Institute of Law, Sector-68",PG [1 Year Program(s)],21,15,-,-,-,-,-,7,8,15,3,12,0,0,0,0,0,0,0
Babasheb Bhimrao Ambedkar University,PG [2 Year Program(s)],14,38,38,-,-,-,-,32,44,76,30,46,0,15,48,22,41,0,0
Banaras Hindu University,UG [3 Years Program(s)],42,286,335,335,-,-,-,644,214,858,464,394,0,86,425,133,0,0,378
Banaras Hindu University,UG [5 Years Program(s)],42,60,60,60,60,60,-,180,120,300,165,123,12,30,148,75,0,0,103
Banaras Hindu University,PG [1 Year Program(s)],42,25,-,-,-,-,-,17,8,25,15,10,0,2,12,7,0,0,7
Banaras Hindu University,PG [2 Year Program(s)],42,69,69,-,-,-,-,90,48,138,111,27,0,13,68,38,0,0,43
