,college,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GPG,GSS,RD,WD,ESCE,PCS,PR,Rank,Score
,"All India Institute of Medical Sciences, Delhi",20,30,18.47,30,40,40,5,8.85,23.07,25,30,20,23.63,26.44,0,20,100,1,94.32
,Post Graduate Institute of Medical Education and Research,15.19,30,18.96,24.38,36.74,36.38,2,8.03,14.64,18.18,30,16.98,19.76,25.22,0,20,71.42,2,81.1
,"Christian Medical College, Brown Road, Ludhiana",16,30,19.03,12.26,2.64,6.32,0,8.17,23,25,24,3.14,17.09,30,0,20,23.88,3,75.29
,National Institute of Mental Health & Neuro Sciences,15.5,30,18.07,23.37,26.4,23.21,0,9.24,20.75,20.04,27,9.49,21.21,30,0,20,61.53,4,72.46
,Jawaharlal Institute of Post Graduate Medical Education & Research,18.5,30,19.27,16.43,22.34,18.18,1,6.91,24.6,25,30,10.1,20.5,27.6,0.57,20,74.97,5,72.1
,Amrita Vishwa Vidyapeetham,18.01,30,18.65,15.8,18.05,17.24,9,8.5,23.83,25,30,10.1,21.85,30,1.37,20,51.47,6,70.84
,Sanjay Gandhi Postgraduate Institute of Medical Sciences,13.76,30,16.67,28.37,23.45,22.41,1,7.62,22.54,25,24,12.18,12.36,24.74,0,20,41.93,7,69.62
,Banaras Hindu University,17.79,30,18.34,16.69,22.14,24.63,1,6.73,24.46,25,30,6.1,16.65,23.73,0,20,44.02,8,68.75
,"Kasturba Medical College, Manipal",18.39,30,18.56,9.69,20.03,19.19,2,8.51,21.2,25,27,4.22,23.49,30,0.22,20,54.22,9,66.19
,Sree Chitra Tirunal Institute for Medical Sciences and Technology,11.89,30,18.97,19.26,16.57,17.81,10,8.86,24.02,24.37,21,8.4,15.14,23.6,0,15,42.99,10,65.24
,Madras Medical College & Government General Hospital,20,30,18.75,16.11,0.81,2.43,2.5,7.66,25,25,30,17.21,13.99,30,14.53,20,76.55,11,64.43
,King George`s Medical University,18.28,30,18.27,14.01,15.95,16,2,7.06,22.45,25,30,9.59,4.99,26.82,4,20,44.69,12,63.93
,All India Institute of Medical Sciences Jodhpur,17.78,30,18.16,18.31,19.92,18.73,3,7.05,19.67,23.73,24,3.35,15.18,25.87,0.68,20,22.19,13,62.43
,Vardhman Mahavir Medical College & Safdarjung Hospital,18.5,30,16.52,22.1,15.51,12.97,0,6.55,23.17,24.56,30,6.46,8.12,27.22,0.69,20,26.55,14,61.73
