college,Faculty Student Ratio,Faculty Quality,Region Diversity,Woman diversity,Peer reputation,Rank,Score,City,State
"All India Institute of Medical Sciences, Delhi",30,18.47,23.63,26.44,100,1,94.32,New Delhi,Delhi
Post Graduate Institute of Medical Education and Research,30,18.96,19.76,25.22,71.42,2,81.1,Chandigarh,Chandigarh
Christian Medical College,30,19.03,17.09,30,23.88,3,75.29,Vellore,Tamil Nadu
National Institute of Mental Health & Neuro Sciences,30,18.07,21.21,30,61.53,4,72.46,Bangalore,Karnataka
Jawaharlal Institute of Post Graduate Medical Education & Research,30,19.27,20.5,27.6,74.97,5,72.1,Puducherry,Pondicherry
Amrita Vishwa Vidyapeetham,30,18.65,21.85,30,51.47,6,70.84,Coimbatore,Tamil Nadu
Sanjay Gandhi Postgraduate Institute of Medical Sciences,30,16.67,12.36,24.74,41.93,7,69.62,Lucknow,Uttar Pradesh
Banaras Hindu University,30,18.34,16.65,23.73,44.02,8,68.75,Varanasi,Uttar Pradesh
"Kasturba Medical College, Manipal",30,18.56,23.49,30,54.22,9,66.19,Manipal,Karnataka
Sree Chitra Tirunal Institute for Medical Sciences and Technology,30,18.97,15.14,23.6,42.99,10,65.24,Thiruvananthapuram,Kerala
Madras Medical College & Government General Hospital,30,18.75,13.99,30,76.55,11,64.43,Chennai,Tamil Nadu
King George`s Medical University,30,18.27,4.99,26.82,44.69,12,63.93,Lucknow,Uttar Pradesh
All India Institute of Medical Sciences Jodhpur,30,18.16,15.18,25.87,22.19,13,62.43,Jodhpur,Rajasthan
Vardhman Mahavir Medical College & Safdarjung Hospital,30,16.52,8.12,27.22,26.55,14,61.73,New Delhi,Delhi
Dr. D. Y. Patil Vidyapeeth,30,18.47,18.73,30,37.8,15,61.35,Pune,Maharashtra
Siksha `O` Anusandhan,30,16.56,21.55,30,31.42,16,60.66,Bhubaneswar,Odisha
All India Institute of Medical Sciences Bhubaneswar,30,18.19,18.01,24.17,45.03,17,60.65,Khordha,Odisha
Saveetha Institute of Medical and Technical Sciences,30,19.7,13.08,30,18.6,18,60.61,Chennai,Tamil Nadu
St. John's Medical College,30,18.85,18.03,30,43.68,19,60.49,Bengaluru,Karnataka
S.R.M. Institute of Science and Technology,30,19.91,22.59,30,31.87,20,60.47,Chennai,Tamil Nadu
Sri Ramachandra Institute of Higher Education and Research,30,17.88,12.53,30,42.64,21,60.44,Chennai,Tamil Nadu
"All India Institute of Medical Sciences, Rishikesh",30,18.52,21.55,23.6,23.88,22,60.06,Rishikesh,Uttarakhand
Institute of Liver and Biliary Sciences,30,18.38,20.66,19.17,29.05,23,59.59,New Delhi,Delhi
Institute of Post Graduate Medical Education & Research,30,17.99,4.54,24.34,46.65,24,58.49,Kolkata,West Bengal
Datta Meghe Institute of Higher Education and Research,30,17.84,19.95,30,11.83,25,58.48,Wardha,Maharashtra
Kalinga Institute of Industrial Technology,30,19.83,21.49,30,21.03,26,57.39,Bhubaneswar,Odisha
"All India Institute of Medical Sciences, Patna",30,16.59,17.31,20.66,37,27,57.3,Patna,Bihar
Aligarh Muslim University,30,18.79,11.02,26.41,16.02,28,56.92,Aligarh,Uttar Pradesh
Jamia Hamdard,28.86,19.35,14.47,29.61,20.43,29,56.36,New Delhi,Delhi
"Kasturba Medical College, Mangalore",30,19.22,19.5,30,32.33,30,56.3,Mangalore,Karnataka
Lady Hardinge Medical College,30,16.68,5.59,30,36.19,31,55.78,New Delhi,Delhi
Govt. Medical College & Hospital,30,19.22,7.2,30,26.03,32,55.34,Chandigarh,Chandigarh
Maulana Azad Medical College,30,18.43,7.12,27.55,48.83,32,55.34,Delhi,Delhi
Maharishi Markandeshwar,30,19.81,17.98,29.62,9.56,34,54.87,Ambala,Haryana
Dayanand Medical College,30,16.9,5.02,29.72,22.19,35,54.75,Ludhiana,Punjab
University College of Medical Sciences,30,19.13,12.92,25.67,26.03,36,54.68,Delhi,Delhi
"JSS Medical College, Mysore",30,18.55,17.84,30,40.1,37,54.13,Mysore,Karnataka
All India Institute of Medical Sciences Bhopal,30,18.53,20.87,24.48,24.97,38,53.94,Bhopal,Madhya Pradesh
All India Institute of Medical Sciences Raipur,30,18.94,22.57,25.36,14.67,39,53.92,Raipur,Chhattisgarh
PSG Institute of Medical Sciences & Research,30,18.47,7.64,30,50.02,40,53.68,Coimbatore,Tamil Nadu
Gujarat Cancer & Research Institute,30,16.25,6.96,29.14,8.78,41,52.61,Ahmadabad,Gujarat
"Christian Medical College, Brown Road, Ludhiana",30,19.15,10.54,30,90.24,42,52.46,Ludhiana,Punjab
M. S. Ramaiah Medical College,30,18.59,7.49,30,37.8,43,52.44,Bengaluru,Karnataka
Government Medical College Thiruvananthapuram,30,17.67,1.39,30,40.47,44,51.91,Thiruvananthapuram,Kerala
Medical College,30,18.42,4.69,25.19,43.33,45,51.17,Kolkata,West Bengal
Sawai Man Singh Medical College,30,18.67,6.67,26.88,8.78,46,51.12,Jaipur,Rajasthan
Mahatma Gandhi Medical College and Research Institute,30,19.3,24.66,30,16.68,47,50.86,Puducherry,Pondicherry
Chettinad Academy of Research and Education,30,19.36,13.41,30,9.56,48,50.72,"Kelambakkam, Chengalpattu District",Tamil Nadu
"Pt. B.D.Sharma, PGIMS ",30,18.71,5.02,30,12.56,49,49.73,Rohtak,Haryana
B. J. Medical College,30,18.13,6.23,25.01,21.62,50,49.71,Ahmadabad,Gujarat
