college,Faculty Student Ratio,Faculty Quality,Median Salary,Research,Woman diversity,Peer reputation,Score,Rank,City,State
Indian Institute of Technology Madras,30,17.3,20,34.81307018,14.11,100,89.79,1,Chennai,Tamil Nadu
Indian Institute of Technology Delhi,26.2,17.05,21.18,38.21440696,16.65,94.07,87.09,2,New Delhi,Delhi
Indian Institute of Technology Bombay,24,16.09,19.5,33.68233658,13.46,85.36,80.74,3,Mumbai,Maharashtra
Indian Institute of Technology Kanpur,25.29,17.36,21.93,30.23061189,11.35,76.15,80.65,4,Kanpur,Uttar Pradesh
Indian Institute of Technology Roorkee,23.7,15.5,20.78,30.85979239,11.96,59.37,75.64,5,Roorkee,Uttarakhand
Indian Institute of Technology Kharagpur,20.07,14.03,20.33,36.53321196,10.55,75.51,73.76,6,Kharagpur,West Bengal
Indian Institute of Technology Guwahati,20.99,12.01,22.09,30.97,11.4,50.09,70.32,7,Guwahati,Assam
Indian Institute of Technology Hyderabad,30,18.32,21.12,24.25,15.41,60.04,70.28,8,Hyderabad,Telangana
National Institute of Technology Tiruchirappalli,23.39,15.86,17.02,24.41856764,20.76,67.98,69.71,9,Tiruchirappalli,Tamil Nadu
Jadavpur University,29.25,18.97,15.95,26.69946903,18.03,35.84,67.04,10,Kolkata,West Bengal
Vellore Institute of Technology,21.54,13.65,13.38,32.3993417,21.86,50.21,66.59,11,Vellore,Tamil Nadu
"National Institute of Technology Karnataka, Surathkal ",22.17,14.23,16.87,22.80072727,16.32,48.38,65.26,12,Surathkal,Karnataka
Anna University,23.2,13.15,11.72,9.904256757,25.29,65.5,65.06,13,Chennai,Tamil Nadu
Indian Institute of Technology Indore,29.99,17.79,20.37,25.5302439,13.81,24.73,63.93,14,Indore,Madhya Pradesh
Indian Institute of Technology (Banaras Hindu University) Varanasi,17.7,12.35,20.27,25.91024658,10.22,53.31,63.74,15,Varanasi,Uttar Pradesh
National Institute of Technology Rourkela,25.7,17.05,14.52,26.581,14.41,18.85,62.79,16,Rourkela,Odisha
Indian Institute of Technology (Indian School of Mines),21.48,14.7,17.91,27.77670918,10.32,30.85,62.37,17,Dhanbad,Jharkhand
