college,Faculty Student Ratio,Faculty Quality,Region Diversity,Woman diversity,Peer reputation,Rank,Score,State,City
Indian Institute of Technology Madras,21.17,15.72,22.49,13.24,100,1,86.69,Tamil Nadu,Chennai
Indian Institute of Science,25,18.43,25.53,10.64,97.94,2,83.09,Karnataka,Bengaluru
Indian Institute of Technology Delhi,22.39,17.28,24.31,17.67,90.98,3,82.16,Delhi,New Delhi
Indian Institute of Technology Bombay,20.63,16.18,20.45,13.9,84.98,4,81.28,Maharashtra,Mumbai
Indian Institute of Technology Kanpur,21.36,17.6,21.09,11.62,69.84,5,77.23,Uttar Pradesh,Kanpur
"All India Institute of Medical Sciences, Delhi",25,18.47,24.46,28.26,75.23,6,72.14,Delhi,New Delhi
Indian Institute of Technology Kharagpur,16.75,14.03,20.67,11.28,70.68,7,71.82,West Bengal,Kharagpur
Indian Institute of Technology Roorkee,20.02,15.63,24.68,12.78,50.36,8,71.66,Uttarakhand,Roorkee
Indian Institute of Technology Guwahati,19.26,12.93,23.99,13.36,42.44,9,68.78,Assam,Guwahati
Jawaharlal Nehru University,24.35,16.97,25.31,28.33,50.73,10,67.44,Delhi,New Delhi
Banaras Hindu University,20.92,16.38,11.96,27.43,45.43,11,67.21,Uttar Pradesh,Varanasi
"Jamia Millia Islamia,New Delhi",25,16,24.17,30,26.4,12,65.52,Delhi,New Delhi
Jadavpur University,22.32,17.33,5,24.17,41.08,13,64.3,West Bengal,Kolkata
Indian Institute of Technology Hyderabad,24.96,18.29,19.17,16.5,48.36,14,64.24,Telangana,Hyderabad
Amrita Vishwa Vidyapeetham,25,16.85,21.6,27.41,35.71,15,62.74,Tamil Nadu,Coimbatore
Manipal Academy of Higher Education-Manipal,25,16.43,17.9,27.14,24.39,16,62.71,Karnataka,Manipal
Vellore Institute of Technology,18.05,12.9,19.38,23.05,45.71,17,62.7,Tamil Nadu,Vellore
Anna University,18.49,12.57,0.77,25.5,62.67,18,62.36,Tamil Nadu,Chennai
Aligarh Muslim University,24.07,17.38,9.08,25.83,26.4,19,62.27,Uttar Pradesh,Aligarh
University of Hyderabad,25,19.07,18.71,27.87,26.83,20,60.49,Telangana,Hyderabad
National Institute of Technology Tiruchirappalli,18.27,14.93,18.6,21.24,58.95,21,60.43,Tamil Nadu,Tiruchirappalli
University of Delhi,10.87,8.45,16.89,26.72,39.84,22,60.24,Delhi,Delhi
Calcutta University,25,17.71,2.72,30,29.33,23,60.22,West Bengal,Kolkata
Indian Institute of Technology Gandhinagar,25,19.27,23.05,21.38,27.47,24,58.89,Gujarat,Gandhinagar
Birla Institute of Technology  & Science -Pilani,18.95,14.93,21.9,17.24,25.3,25,58.76,Rajasthan,Pilani
Siksha `O` Anusandhan,25,15.7,22.41,30,34.11,26,58.35,Odisha,Bhubaneswar
Saveetha Institute of Medical and Technical Sciences,25,19.84,15.77,27.47,5.37,27,58.14,Tamil Nadu,Chennai
Indian Institute of Technology Indore,24.99,17.79,21.24,13.81,16.1,28,58,Madhya Pradesh,Indore
Kalinga Institute of Industrial Technology,25,18.02,26.75,30,14.39,29,57.52,Odisha,Bhubaneswar
Homi Bhabha National Institute,25,17.84,15.65,23.7,6.08,30,57.09,Maharashtra,Mumbai
Indian Institute of Technology (Banaras Hindu University) Varanasi,15.03,12.35,17.85,10.35,38.07,31,57.08,Uttar Pradesh,Varanasi
S.R.M. Institute of Science and Technology,20.52,13.22,17.72,25.3,23.94,32,56.44,Tamil Nadu,Chennai
Indian Institute of Technology Ropar,23.57,18.13,23.79,14.74,25.52,33,56.16,Punjab,Rupnagar
