,college,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCE,PCS,PR,Rank
45,Indian Institute of Technology Madras,17,21.17,15.72,19.56,13,31.98,32.26,15,10.64,58.93,28.29,22.49,13.24,7.86,20,100,1
28,Indian Institute of Science Education & Research Bhopal,8.58,22.85,18.11,14.51,5,15.16,14.56,1,0.82,56.5,7.3,23.81,21.08,3.44,20,8.15,2
37,Indian Institute of Technology Delhi,16.84,22.39,17.28,16.55,9,31.62,33.27,13,7.34,54.38,24.83,24.31,17.67,8.33,20,90.98,3
36,Indian Institute of Technology Bombay,17,20.63,16.18,15.9,11,30.89,31.88,15,8.37,56.42,27.84,20.45,13.9,4.41,20,84.98,4
43,Indian Institute of Technology Kanpur,16.92,21.36,17.6,16.57,13,27.47,27.55,12,5.93,60,23.62,21.09,11.62,7.53,20,69.84,5
2,"All India Institute of Medical Sciences, Delhi",11,25,18.47,20,2,32.07,29.53,1.5,4.65,60,10.46,24.46,28.26,0,20,75.23,6
44,Indian Institute of Technology Kharagpur,16.94,16.75,14.03,10.57,15,29.23,32.56,5,5.46,45.38,31.37,20.67,11.28,5.49,20,70.68,7
48,Indian Institute of Technology Roorkee,16.15,20.02,15.63,12.88,13,28.1,29.78,5,5.11,60,23.15,24.68,12.78,5.35,20,50.36,8
39,Indian Institute of Technology Guwahati,17,19.26,12.93,12.24,12,27.98,28.21,7,3.79,60,22.95,23.99,13.36,0.95,20,42.44,9
55,Jawaharlal Nehru University,17,24.35,16.97,12.73,2.5,21.43,22.16,2,0.97,56.52,38.37,25.31,28.33,0,20,50.73,10
9,Banaras Hindu University,20,20.92,16.38,11.47,4,19.14,24.85,1.5,3.69,60,39.64,11.96,27.43,2.11,20,45.43,11
53,"Jamia Millia Islamia,New Delhi",16,25,16,10.88,1.5,20.09,23.71,3,3.03,60,33.85,24.17,30,9.24,20,26.4,12
51,Jadavpur University,18.22,22.32,17.33,7.77,2,23.1,24.61,3,2.95,60,30.61,5,24.17,7.62,20,41.08,13
40,Indian Institute of Technology Hyderabad,10.17,24.96,18.29,14.97,6,24.55,23.83,4,2.74,60,13.26,19.17,16.5,3.37,20,48.36,14
5,Amrita Vishwa Vidyapeetham,18,25,16.85,11.55,2,19.76,19.8,6,4.79,60,13.93,21.6,27.41,3.76,20,35.71,15
66,Manipal Academy of Higher Education-Manipal,17.49,25,16.43,11.94,2,21.14,24.74,3,5.13,60,17.97,17.9,27.14,1.06,20,24.39,16
97,Vellore Institute of Technology,20,18.05,12.9,4.72,0,23.74,30.37,9,0.48,60,20.43,19.38,23.05,0.12,20,45.71,17
7,Anna University,15.25,18.49,12.57,6.92,3,24.18,27.06,10,2.99,57.43,17.16,0.77,25.5,4.02,20,62.67,18
1,Aligarh Muslim University,17.5,24.07,17.38,9.92,0,18.63,23.61,3,1.64,59.87,34.69,9.08,25.83,5.13,20,26.4,19
