college,Faculty Student Ratio,Faculty Quality,Median Salary,Region Diversity,Women Diversity,Peer Perception,Score,Rank,City,State
Indian Institute of Management Ahmedabad,30,18.01,39.8,28.5,22.85,96.14,83.2,1,Ahmedabad,Gujarat
Indian Institute of Management Bangalore,30,16.97,39.6,27.56,24,100,80.89,2,Bengaluru,Karnataka
Indian Institute of Management Kozhikode,28.54,17.28,36.73,28.05,28.36,75.16,76.48,3,Kozhikode,Kerala
Indian Institute of Management Calcutta,27.53,17.52,40,27.03,23.17,85.51,75.53,4,Kolkata,West Bengal
Indian Institute of Technology Delhi,26.96,18.02,34.1,20.63,21.88,61.51,74.14,5,New Delhi,Delhi
Indian Institute of Management Lucknow,28.79,17,38.45,25.36,23.16,77.24,74.11,6,Lucknow,Uttar Pradesh
"National Institute of Industrial Engineering, Mumbai",30,17.24,38.86,28.78,24.41,19.03,71.99,7,Mumbai,Maharashtra
Indian Institute of Management Indore,30,18.62,37.04,25.69,21.14,56.36,71.95,8,Indore,Madhya Pradesh
XLRI-Xavier School of Management,30,15.88,38.55,28.58,19.34,50.13,70.75,9,Jamshedpur,Jharkhand
Indian Institute of Technology Bombay,25.86,14.94,37.05,22.5,16.89,45.66,68.11,10,Mumbai,Maharashtra
Indian Institute of Management Raipur,30,19.37,31.38,28.28,27.77,20.14,66.18,11,Raipur,Chhattisgarh
Indian Institute of Management Rohtak,30,18.93,30.21,27.85,30,33.66,65.88,12,Rohtak,Haryana
Management Development Institute,29.81,15.31,37.12,26.07,22.03,21.91,64.88,13,Gurugram,Haryana
Indian Institute of Technology Kharagpur,21.65,14.38,33.58,12.6,17.03,38.37,63.92,14,Kharagpur,West Bengal
Indian Institute of Technology Madras,25.68,15.97,30.35,13.53,23.62,60.42,62.83,15,Chennai,Tamil Nadu
Indian Institute of Management Udaipur,30,19.85,29.78,27.19,25.03,25.57,62.78,16,Udaipur,Rajasthan
Symbiosis Institute of Business Management,30,15.85,34.37,20,24.92,40.87,62.74,17,Pune,Maharashtra
Indian Institute of Technology Roorkee,30,18.71,28.22,20.68,12.14,24.6,62.14,18,Roorkee,Uttarakhand
Indian Institute of Management Kashipur,25.43,17.45,29.29,29.23,22.26,33.92,61.07,19,Kashipur,Uttarakhand
S.P. Jain Institute of Management & Research,30,15.02,39.41,24.25,25.63,24.6,60.91,20,Mumbai,Maharashtra
SVKM`s Narsee Monjee Institute of Management Studies,30,19.56,32.46,25.92,30,18.66,60.84,21,Mumbai,Maharashtra
Indian Institute of Management Tiruchirappalli,24.37,16.1,30.94,25.93,22.14,66.57,60.83,22,Tiruchirappalli,Tamil Nadu
Indian Institute of Technology Kanpur,30,18.89,28.78,17.44,16.13,30.38,60.63,23,Kanpur,Uttar Pradesh
Indian Institute of Management Ranchi,23.02,15.82,30.8,27.65,24.94,31.5,59.99,24,Ranchi,Jharkhand
"Jamia Millia Islamia,New Delhi",30,17.75,19.27,21.88,30,10.36,59.78,25,New Delhi,Delhi
Indian Institute of Management Shillong,24.66,16.11,34.23,30,25.41,28.64,59.12,26,Shillong,Meghalaya
Indian Institute of Foreign Trade,27.03,16,35.57,22.34,21.14,48.33,58.6,27,New Delhi,Delhi
Amity University,30,15.93,17.69,19.77,26.75,17.13,58.56,28,Gautam Budh Nagar,Uttar Pradesh
Indian Institute of Management Visakhapatnam,30,18.14,29.08,25.45,23.75,39.97,57.57,29,Visakhapatnam,Andhra Pradesh
Amrita Vishwa Vidyapeetham,28.5,15.22,18.31,19.54,26.63,32.05,57.02,30,Coimbatore,Tamil Nadu
Great Lakes Institute of Management,30,18.88,25.59,23.33,23.83,29.81,56.62,31,Chennai,Tamil Nadu
Lovely Professional University,30,17.83,18.73,26.34,26.45,23.61,56.44,32,Phagwara,Punjab
Goa Institute of Management,30,17.44,26.19,26.28,25.03,17.9,56.28,33,Sanquelim,Goa
International Management Institute,24.53,15.33,22.99,10.25,25.33,8.49,56.05,34,New Delhi,Delhi
National Institute of Technology Tiruchirappalli,30,18,21.42,17.74,23.35,32.05,56.01,35,Tiruchirappalli,Tamil Nadu
Chandigarh University,30,17.03,20.32,28.14,30,39.06,55.98,36,Mohali,Punjab
MICA,28.07,14.08,29.98,22.13,27.94,6.52,55.47,37,Ahmedabad,Gujarat
"Institute of Management Technology, Ghaziabad",30,16.88,28.56,21.92,19.28,19.03,55.26,38,Ghaziabad,Uttar Pradesh
UPES,29.59,19.56,18.18,20.71,27.01,34.44,54.83,39,Dehradun,Uttarakhand
"ICFAI Foundation for Higher Education, Hyderabad",26.64,17.09,21.49,23.32,28.42,18.66,54.29,40,Hyderabad,Telangana
Indian Institute of Management Jammu (IIMJ),29.93,18.35,26.56,29.61,23.19,41.96,54.17,41,Jammu,Jammu and Kashmir
T. A. Pai Management Institute Manipal,23.81,14.61,26.79,25.19,24,21.91,53.48,42,Manipal,Karnataka
Indian Institute of Management,13.38,8.76,26.21,28.3,19.75,15.53,53.41,43,Nagpur,Maharashtra
